accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
2188,11176,-9672,-10518,2358,3182,fall,-0.690638269,0.475481015,0.3546711
11992,10984,-7944,-8587,7246,5094,fall,-0.560490665,0.89162268,0.553361738
44,12452,-11444,-8544,5077,9392,fall,-0.557592505,0.706964073,1
4884,19544,-7648,-15108,2539,2218,fall,-1,0.490890516,0.25449444
5108,14440,-7688,4963,-2658,6015,fall,0.352766732,0.048442023,0.649069937
4888,16812,-7684,-75,-6870,3760,fall,0.013210218,-0.310148136,0.414735529
4376,12832,-8056,8232,-7586,970,fall,0.573094291,-0.371105057,0.124805154
6572,15708,-9968,4317,-564,-2521,fall,0.309226933,0.226715478,-0.237971527
7616,12976,-10220,4376,-4952,-549,fall,0.313203478,-0.146858505,-0.033045828
8460,16128,-11912,5432,-4543,1901,fall,0.384376896,-0.112038141,0.22155253
4960,9452,-11804,-174,-6901,1855,fall,0.00653771,-0.312787332,0.216772316
5700,11460,-11756,-177,-4900,1350,fall,0.006335513,-0.142431466,0.164293879
5140,11060,-12060,1306,-5037,2312,fall,0.106288333,-0.154095011,0.264262704
4488,11720,-12264,-3841,-3756,3839,fall,-0.24061468,-0.045036608,0.422945028
4264,11628,-12668,3814,-3093,3371,fall,0.275325201,0.011408139,0.374311545
3796,11532,-14080,-973,-2050,1660,fall,-0.047314147,0.100204325,0.196508365
3648,12400,-15244,3872,-2172,-129,fall,0.279234347,0.08981781,0.010599605
3468,9904,-13196,-1210,-2690,-1587,fall,-0.063287727,0.045717691,-0.140912397
2996,10288,-13164,-2838,-1673,-1720,fall,-0.173013412,0.132300358,-0.154733451
2884,11704,-13840,1503,903,-3659,fall,0.11956595,0.351609058,-0.356229866
3132,9244,-13748,1251,1412,-2998,fall,0.102581384,0.394942959,-0.287540268
3104,11584,-15712,-1735,1507,-4367,fall,-0.098672238,0.403030819,-0.429803596
2564,10620,-14052,-4186,1787,-5891,fall,-0.263867359,0.426868721,-0.588174166
1652,11300,-14120,-921,3340,-5863,fall,-0.043809395,0.559083943,-0.585264471
1776,11672,-13388,-618,4774,-5562,fall,-0.023387477,0.681168057,-0.553985244
280,9520,-12620,-484,3078,-6230,fall,-0.014356002,0.536778478,-0.623402265
680,9620,-13232,-1262,2661,-4774,fall,-0.066792478,0.50127703,-0.472098098
212,11824,-13984,-4274,1990,-4873,fall,-0.269798477,0.4441512,-0.48238595
408,11544,-12860,-2283,1399,-3448,fall,-0.135606929,0.3938362,-0.334303232
180,12080,-12872,-674,1311,-2186,fall,-0.027161825,0.386344287,-0.203159098
-552,12032,-12856,-1363,1137,-1873,fall,-0.073599784,0.371530734,-0.170632859
-908,12192,-12824,399,1842,-1623,fall,0.045157377,0.431551166,-0.144653434
-896,12180,-12692,-1071,1137,-1816,fall,-0.053919256,0.371530734,-0.16470955
-976,11204,-12228,625,1050,-1130,fall,0.060389567,0.364123957,-0.09342201
-1588,11816,-12436,-1322,1075,-1244,fall,-0.070836422,0.366252341,-0.105268627
-648,12492,-14780,-3599,2900,-374,fall,-0.224304105,0.521624383,-0.014860231
-32,10352,-11080,-5337,4453,434,fall,-0.341443688,0.653839605,0.069105269
1032,12024,-10800,-8932,-3809,-1486,fall,-0.583743344,-0.049548783,-0.13041671
-588,14532,-12116,-5925,49,-399,fall,-0.381074341,0.278903456,-0.017458173
0,15348,-12156,-7437,-1272,-1041,fall,-0.482981735,0.166439639,-0.084173335
-124,13516,-11652,-7711,3006,2968,fall,-0.50144908,0.530648731,0.332432713
528,14404,-8840,-3727,-39,3849,fall,-0.232931186,0.271411544,0.423984205
-2404,12120,-9024,8434,-4592,775,fall,0.586708903,-0.116209774,0.104541203
60,15696,-11296,2227,-4506,2141,fall,0.168362877,-0.108888132,0.246492778
460,14312,-10068,9751,-2645,3630,fall,0.675473478,0.049548783,0.401226229
556,14372,-10548,1196,-2306,2077,fall,0.098874436,0.078409671,0.239842045
-156,15360,-11208,3784,-2575,665,fall,0.273303228,0.055508258,0.093110257
156,14456,-10560,2660,-4739,1558,fall,0.197546674,-0.128724672,0.18590876
1208,10976,-10084,6556,-4059,2150,fall,0.46013345,-0.070832624,0.247428037
784,11008,-11432,2770,-3198,2077,fall,0.204960572,0.002468926,0.239842045
1988,12204,-12508,-331,-1505,1881,fall,-0.004043944,0.146603099,0.219474176
2296,12612,-12980,-418,-222,1808,fall,-0.009907663,0.255831773,0.211888185
2192,12792,-13312,-441,-632,1732,fall,-0.011457842,0.220926273,0.20399044
1392,11636,-12988,-359,-714,1646,fall,-0.005931118,0.213945173,0.195053518
1024,11944,-13344,-239,-991,938,fall,0.00215677,0.190362677,0.121479788
736,10808,-12652,-102,-613,718,fall,0.011390443,0.222543845,0.098617895
1204,12288,-13188,-192,-111,306,fall,0.005324527,0.265281798,0.055803803
1112,11652,-12964,389,-50,284,fall,0.044483386,0.270475055,0.053517614
976,10960,-12372,-491,2,142,fall,-0.014827795,0.274902094,0.038761301
852,12048,-12932,-605,107,198,fall,-0.022511289,0.283841308,0.044580692
1340,11528,-12704,-544,752,788,fall,-0.018399946,0.338753618,0.105892133
1184,11960,-13072,-708,24,389,fall,-0.029453394,0.276775072,0.064428972
1132,11984,-13024,-371,-67,245,fall,-0.006739907,0.269027754,0.049464824
1408,11920,-13008,-437,-57,-42,fall,-0.011188246,0.269879108,0.019640445
1224,11744,-12980,-692,-237,162,fall,-0.028375008,0.254554742,0.040839655
988,11800,-13016,-866,-306,118,fall,-0.040102447,0.248680402,0.036267276
992,11652,-12980,-558,-27,207,fall,-0.019343533,0.272433169,0.045515951
1248,11864,-13136,-669,-189,46,fall,-0.02682483,0.25864124,0.028785202
1424,11660,-12896,-828,-47,223,fall,-0.037541282,0.270730461,0.047178635
1356,11560,-12924,-429,-395,252,fall,-0.010649053,0.241103354,0.050192248
1208,11864,-12960,-812,-141,159,fall,-0.036462897,0.262727737,0.040527902
1468,11732,-12880,-303,151,480,fall,-0.00215677,0.287587264,0.073885483
1380,11760,-12924,-898,-204,365,fall,-0.042259217,0.257364209,0.061934948
1380,11760,-12924,-898,-204,365,fall,-0.042259217,0.257364209,0.061934948
