accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-15180,3088,740,-8458,-4287,12830,walking,-0.258106355,-0.14650262,0.603051557
-15200,2848,684,6440,-12138,17459,walking,0.196551461,-0.471737194,0.76578952
-20104,2356,1120,10423,-15243,13158,walking,0.318104829,-0.600364548,0.614582784
-16008,264,-980,2770,-2254,10693,walking,0.08455024,-0.062283809,0.527922797
-13632,328,-1336,-1193,-3255,1342,walking,-0.036392767,-0.103751113,0.199177345
-15844,1076,-28,-2649,3064,-8342,walking,-0.080827039,0.158019014,-0.141275115
-16752,2112,1036,-2719,9592,-12480,walking,-0.082963302,0.428447151,-0.286751393
-16144,2880,1436,-3169,10040,-14205,walking,-0.096696422,0.447005945,-0.347395806
-15320,3528,1520,495,6716,-11751,walking,0.015121691,0.309306324,-0.261122537
-15408,14216,-1332,-5180,-250,3536,walking,-0.158068208,0.020733652,0.276310007
-13084,3996,1176,-9000,-4317,4846,walking,-0.274647135,-0.147745397,0.322364605
-16224,4016,1080,8808,-11045,9250,walking,0.268818189,-0.426458709,0.477192427
-16816,2188,-248,2238,-8427,11102,walking,0.068314641,-0.318005758,0.542301675
-16280,2368,-452,2217,-5784,10502,walking,0.067673762,-0.208517161,0.521207966
-15508,1536,-732,3738,-263,6593,walking,0.114091707,0.020195116,0.383782454
-16072,1896,-524,1461,4346,913,walking,0.044602121,0.211126991,0.184095344
-15940,1888,-60,2333,8053,-2377,walking,0.071213855,0.364692724,0.068431507
-15828,2340,596,-1020,9439,-6962,walking,-0.031113146,0.422108991,-0.092759584
-15872,2976,996,-1010,6811,-8550,walking,-0.030807965,0.313241782,-0.1485876
-15228,3252,924,-3273,2967,-8338,walking,-0.099870298,0.154000704,-0.14113449
-14792,3644,904,-4053,-1989,-6124,walking,-0.123674372,-0.051305951,-0.063298704
-14552,3628,396,-1126,-7510,-1870,walking,-0.034348058,-0.280018227,0.086255691
-15432,3608,-92,-1584,-9373,1294,walking,-0.048325322,-0.357194639,0.197489849
-15928,3564,-700,-1674,-7026,3866,walking,-0.051071946,-0.259968102,0.287911547
-15240,2932,-1004,1265,-4659,5943,walking,0.038620584,-0.161913047,0.360930936
-15800,2528,-932,4210,-493,6037,walking,0.128496223,0.010667164,0.364235617
-16004,2276,-424,3077,4759,4108,walking,0.09391928,0.228235879,0.296419343
-15516,2180,-40,2353,7617,1988,walking,0.071824216,0.34663104,0.221888238
-15588,2112,568,1855,7750,-804,walking,0.05662623,0.352140682,0.12373218
-14836,2240,848,-684,6163,-3386,walking,-0.020859083,0.286397813,0.03295892
-14544,2488,932,-2716,2130,-5015,walking,-0.082871748,0.119327244,-0.024310499
-15112,2960,640,-3044,-2849,-5013,walking,-0.092881666,-0.086932207,-0.024240187
-15044,3112,296,-4181,-6203,-3882,walking,-0.127580682,-0.225874604,0.015521454
-15264,3580,0,-3412,-7919,-1826,walking,-0.104112306,-0.296961412,0.087802563
-15488,3384,-596,-1702,-6841,582,walking,-0.051926452,-0.252304315,0.172458648
-15264,3296,-908,-134,-3988,2554,walking,-0.004074159,-0.134116282,0.241786637
-15476,2968,-808,3135,-717,4081,walking,0.095689326,0.001387767,0.295470126
-15632,2496,-540,3496,3451,3943,walking,0.10670634,0.17405083,0.290618573
-15700,2504,48,2045,6409,2815,walking,0.062424659,0.296588579,0.2509624
-15324,2284,416,2465,6778,1464,walking,0.075242237,0.311874728,0.203466399
-15016,2140,668,779,5220,-523,walking,0.023788815,0.247333209,0.133611067
-14844,2312,876,-1111,2599,-1974,walking,-0.033890288,0.138755981,0.082599448
-14632,2552,724,-2618,-1305,-3300,walking,-0.07988098,-0.02297065,0.035982352
-15028,2756,404,-3318,-4689,-3395,walking,-0.10124361,-0.163155823,0.032642514
-15516,3168,92,-3828,-5893,-2746,walking,-0.116807813,-0.213032581,0.055458876
-15472,3220,-332,-3169,-5361,-1403,walking,-0.096696422,-0.190994014,0.102673628
-15408,3212,-600,-1259,-3458,412,walking,-0.038406958,-0.112160567,0.166482097
-15224,3048,-644,496,-471,1760,walking,0.015152209,0.011578533,0.213872629
-15432,2904,-536,999,2066,2595,walking,0.030502785,0.116675987,0.243228041
-15496,2764,-12,2689,3874,3144,walking,0.082078279,0.191573976,0.262528784
-15264,2424,228,2478,4626,2351,walking,0.075638972,0.222726237,0.234649932
-15244,2320,496,811,4236,1428,walking,0.024765393,0.206570144,0.202200777
-14856,2244,716,109,2171,185,walking,0.003341726,0.121025705,0.158501644
-14764,2312,596,-1024,-395,-960,walking,-0.031235218,0.0147269,0.118247816
-14992,2492,384,-2380,-2572,-1867,walking,-0.072617685,-0.075457238,0.086361159
-15276,2812,156,-2909,-4073,-2406,walking,-0.08876173,-0.137637482,0.067411978
-15456,2828,-288,-2885,-3872,-2137,walking,-0.088029297,-0.129310881,0.07686899
