accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
204,13692,-9236,-2306,763,-2333,standing,0.077900249,0.400856603,-0.121437619
228,16684,-6456,-8092,1130,-737,standing,-0.126837812,0.418419353,0.00490817
1600,11128,-9376,13827,-303,11833,standing,0.648767715,0.349843275,1
2224,12960,-9504,10073,-125,1869,standing,0.515932131,0.358361448,0.211209626
1880,12944,-17404,-4421,4522,900,standing,0.003060809,0.580743187,0.134499683
3464,12116,-14728,2960,-556,-866,standing,0.264238071,0.337735984,-0.00530399
3048,11292,-12840,-471,-957,-279,standing,0.142831868,0.318546168,0.041165294
3184,11424,-13396,55,231,-337,standing,0.161444419,0.375397794,0.036573781
3800,11448,-13212,1325,1189,-489,standing,0.206383468,0.421242792,0.024540849
4472,12124,-15352,1417,5143,1422,standing,0.209638895,0.610461082,0.175823306
6388,19736,84,-13579,-4384,-5214,standing,-0.320995736,0.154547412,-0.349509183
5200,12840,-11572,125,-1985,205,standing,0.163921374,0.269351327,0.079480684
3972,12448,-10732,113,-907,1200,standing,0.163496753,0.320938913,0.158248892
5052,12484,-9864,-10613,-2009,-369,standing,-0.216043594,0.268202809,0.034040532
5132,15016,-15448,-15109,8353,117,standing,-0.375134906,0.764075324,0.07251425
5560,13708,-7292,-12877,-1180,3581,standing,-0.296155411,0.307874524,0.346738442
4960,11696,-5660,-3140,-2571,-2606,standing,0.048389094,0.241308353,-0.143049398
3584,-1356,9344,23753,-28510,-10488,standing,1,-1,-0.767020266
4732,14588,-8792,-1806,2405,-771,standing,0.095592789,0.479434355,0.002216593
3964,14092,-5764,-4071,5125,-1388,standing,0.015445587,0.609599694,-0.046627612
4116,13928,-7996,-1271,1953,1801,standing,0.114523805,0.457803938,0.205826472
4900,14396,-8784,214,1981,1834,standing,0.167070646,0.459143876,0.208438885
6032,15252,-7652,-470,742,1052,standing,0.142867253,0.39985165,0.146532616
5752,14956,-7560,134,-338,873,standing,0.16423984,0.348168354,0.132362255
6136,14856,-8280,2655,-4024,1493,standing,0.253445622,0.171775178,0.181443952
5564,14048,-8044,1647,-3317,1520,standing,0.217777463,0.205608595,0.183581381
3636,13060,-6372,-6685,-9335,-1820,standing,-0.077051008,-0.082382217,-0.080826472
4832,13528,-9976,11527,-7110,1465,standing,0.567382035,0.024094944,0.179227359
4252,13508,-11984,5894,-2019,859,standing,0.36805789,0.26772426,0.131253958
3876,5388,-12420,16777,-11230,2383,standing,0.753153695,-0.17306726,0.251899937
4588,12648,-11900,-5065,-2295,-1690,standing,-0.019727181,0.254516307,-0.070535149
3080,12556,-11656,2519,-3396,-4180,standing,0.248633251,0.201828057,-0.267653578
2136,11740,-14656,-10958,2391,-4307,standing,-0.228251446,0.478764386,-0.27770741
2364,10932,-13900,10611,-6089,353,standing,0.534969303,0.072954801,0.09119696
4756,9384,-14676,6732,-1256,704,standing,0.397710585,0.304237552,0.118983534
